,곡명,아티스트,앨범명,좋아요 수
1,갑자기,아이오아이 (I.O.I),I.O.I 3rd MINI ALBUM [I.O.I : LOOP],총건수0
3,REDRED,CORTIS (코르티스),GREENGREEN,총건수0
6,LEMONADE,aespa,LEMONADE - The 2nd Album,총건수0
10,It′s Me,아일릿(ILLIT),MAMIHLAPINATAPAI,총건수0
15,LOVE ATTACK,RESCENE (리센느),SCENEDROME,총건수0
21,소문의 낙원,AKMU (악뮤),개화,총건수0
28,캐치 캐치,YENA (최예나),LOVE CATCHER,총건수0
36,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤),개화,총건수0
45,RUDE!,Hearts2Hearts (하츠투하츠),RUDE!,총건수0
55,사랑하게 될 거야,한로로,이상비행,총건수0
66,Drowning,WOODZ,OO-LI,총건수0
78,0+0,한로로,자몽살구클럽,총건수0
91,Good Goodbye,화사 (HWASA),Good Goodbye,총건수0
105,Heavy Serenade,NMIXX,Heavy Serenade,총건수0
120,404 (New Era),KiiiKiii (키키),Delulu Pack,총건수0
136,BANG BANG,IVE (아이브),REVIVE+,총건수0
153,타임캡슐,다비치,타임캡슐,총건수0
171,SWIM,방탄소년단,ARIRANG,총건수0
190,Popcorn,도경수(D.O.),성장 - THE 3RD MINI ALBUM,총건수0
210,WDA (Whole Different Animal) (Feat. G-DRAGON),aespa,LEMONADE - The 2nd Album,총건수0
231,Blue Valentine,NMIXX,Blue Valentine,총건수0
253,너에게 닿기를,10CM,너에게 닿기를,총건수0
276,VIRAL,BOYNEXTDOOR,HOME,총건수0
300,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,총건수0
325,멸종위기사랑,이찬혁,EROS,총건수0
351,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,총건수0
378,뛰어(JUMP),BLACKPINK,뛰어(JUMP),총건수0
406,Golden,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),총건수0
435,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,총건수0
465,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,총건수0
496,모르시나요(PROD.로코베리),조째즈,모르시나요,총건수0
528,Whiplash,aespa,Whiplash - The 5th Mini Album,총건수0
561,toxic till the end,로제 (ROSÉ),rosie,총건수0
595,Body to Body,방탄소년단,ARIRANG,총건수0
630,그대 작은 나의 세상이 되어,카더가든,부재,총건수0
666,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,총건수0
703,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),총건수0
741,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,총건수0
780,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",총건수0
820,Do your dance,RIIZE,II - The 2nd Mini Album,총건수0
861,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),총건수0
903,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,총건수0
946,청춘만화,이무진,만화 (滿花),총건수0
990,like JENNIE,제니 (JENNIE),Ruby,총건수0
1035,STYLE,Hearts2Hearts (하츠투하츠),STYLE,총건수0
1081,HAPPY,DAY6 (데이식스),Fourever,총건수0
1128,Lemon Tang,Hearts2Hearts (하츠투하츠),Lemon Tang - The 2nd Mini Album,총건수0
1176,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,총건수0
1225,주저하는 연인들을 위해,잔나비,전설,총건수0
1275,BOOMPALA,LE SSERAFIM (르세라핌),'PUREFLOW' pt.1,총건수0
1326,봄날,방탄소년단,YOU NEVER WALK ALONE,총건수0
1378,예뻤어,DAY6 (데이식스),Every DAY6 February,총건수0
1431,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),총건수0
